10 90
1 10
4 2 373
5 1 475
1 9 60
3 10 368
8 4 698
9 8 307
2 4 467
3 9 280
5 2 875
3 8 977
5 9 828
1 2 144
6 1 593
1 8 651
3 7 593
10 7 999
9 6 574
2 10 785
6 9 690
3 1 629
3 6 961
2 6 499
3 2 610
8 9 382
7 5 741
5 4 819
9 2 94
7 3 571
3 4 838
7 10 319
5 3 767
8 6 724
5 6 596
9 7 113
1 6 674
1 10 839
7 2 231
10 4 127
2 9 555
1 4 905
6 4 443
8 2 923
6 2 624
10 6 327
7 6 98
10 2 40
2 1 379
7 9 567
8 5 206
5 10 189
1 3 900
4 9 764
10 3 397
9 1 247
8 7 567
6 8 571
6 5 40
8 10 498
10 8 716
9 10 733
8 1 367
4 1 784
5 7 379
5 8 697
4 7 510
1 7 357
6 7 811
2 5 690
9 5 169
7 1 963
10 9 860
2 7 826
2 8 873
3 5 404
9 4 306
8 3 594
7 8 996
4 8 915
10 5 971
4 5 83
10 1 188
4 10 274
6 3 726
4 6 765
4 3 275
1 5 37
9 3 262
2 3 473
6 10 477
7 4 370
