1999 7351
762 1074 7770
595 1634 -7175
831 843 4468
609 729 3778
1926 942 -3262
1497 1489 -4695
237 1194 -7130
584 1238 9400
1010 673 6278
1447 1546 -6011
1696 112 -9110
1295 1471 3669
1781 438 -3597
668 498 7298
838 314 8568
1324 653 8465
52 164 -8151
217 1597 949
508 468 5928
538 1870 -8715
578 1165 -57
1052 595 -4248
291 911 5403
1416 367 674
1394 935 6382
43 440 -5841
1416 300 -9567
1487 1291 -4449
1110 751 -8256
350 1792 -2841
827 87 -4422
1496 234 -7447
1197 248 -3471
71 880 8065
697 234 -1565
504 275 409
1806 1625 7541
1556 710 4755
178 68 8703
1529 1879 -4566
144 628 3439
314 197 6931
657 686 -5334
1928 383 -2795
924 1976 2260
889 207 9970
299 1815 -7543
1141 363 8464
953 1384 -1278
1644 80 1906
171 536 8361
975 677 8326
360 834 4128
838 634 5128
713 1767 9514
77 455 -7143
1502 256 6681
905 201 9346
1843 931 3289
751 809 2072
1097 1275 -4983
347 716 7385
487 1698 -9312
780 1558 -2587
1584 1178 -7216
1147 1399 -9620
1790 211 4047
1402 747 -1202
272 1756 -2947
105 52 3928
828 1709 4368
1104 1233 -4736
1286 183 -1600
995 504 -8258
54 1952 -1402
1384 1125 8295
1860 1574 5460
978 1245 -1580
306 342 2163
1141 1363 -8112
991 1409 1763
1134 769 7826
1630 157 -2941
851 211 -1581
998 440 7668
1561 1658 -1304
702 1813 831
178 941 4369
1010 1259 5209
1922 1946 4015
139 1540 6740
1182 1507 -5021
1920 194 8662
851 790 5708
1478 386 434
1781 1473 -8104
833 657 8647
131 1972 1250
101 965 3434
621 1975 -7135
1531 634 2581
46 1282 3716
881 1846 -1245
1004 1020 -2467
10 1448 9287
806 287 1854
1851 1988 -1043
48 877 -1566
590 1472 -9426
1473 1544 -8259
1657 129 1963
1713 856 1214
654 922 7616
259 772 -3408
1077 539 4934
873 1254 3143
532 419 4902
642 13 -3744
1406 1045 -8475
56 750 4010
1569 449 -374
176 324 -6997
971 1717 -7160
1057 22 8428
1907 1389 -719
1415 1024 5130
1552 1151 7375
31 881 3634
7 257 -4709
859 1035 4963
1022 1722 -9710
1255 693 1841
450 832 5495
314 325 2824
939 1739 7316
1202 371 1199
1043 321 3289
1591 21 3507
424 900 -6422
1086 725 4433
766 193 -3760
1939 194 6842
56 1943 2700
531 445 -777
582 1385 1985
121 854 8901
110 1922 -3539
1527 1494 9383
1653 490 -5771
1528 201 5417
1882 984 -9669
328 214 -9107
1985 110 -3347
1274 635 3960
1414 1085 -4794
1433 890 -8119
1039 1024 7542
623 1586 -3538
1365 1527 634
341 1091 566
328 333 2953
700 678 8621
1354 737 9874
184 542 -9731
550 213 -8773
1876 1260 7768
1511 178 2065
1958 1820 -4469
272 473 -3339
1726 836 -4242
546 825 1858
448 1662 -1588
1700 541 -4846
979 1435 -1561
112 1084 1780
544 142 9017
1576 1045 9641
1353 1434 8261
1732 1576 7679
1083 1525 9338
1712 1651 -1885
1703 880 1600
1091 688 2544
1889 1072 -5554
223 306 -7927
1360 839 -2653
